fold_i,fold_j,repeat_i,repeat_j,same_repeat,normalized_projector_overlap
5,91,1,19,0,0.560097145236734
5,92,1,19,0,0.6481682459949973
5,93,1,19,0,0.6463625160805716
5,94,1,19,0,0.5794146489213916
5,95,1,19,0,0.6855139388047566
5,96,1,20,0,0.5788758187971689
5,97,1,20,0,0.6816712515936025
5,98,1,20,0,0.719454571712774
5,99,1,20,0,0.6155223629178777
5,100,1,20,0,0.6162950590131993
6,7,2,2,1,0.632753554700791
6,8,2,2,1,0.6230284984583272
6,9,2,2,1,0.5346718992124951
6,10,2,2,1,0.6307031470509326
6,11,2,3,0,0.614760136113548
6,12,2,3,0,0.6653727019244944
6,13,2,3,0,0.6725136662927658
6,14,2,3,0,0.6749002587351911
6,15,2,3,0,0.6543343695172718
6,16,2,4,0,0.6841726143711613
6,17,2,4,0,0.5522971846963355
6,18,2,4,0,0.7111440347675004
6,19,2,4,0,0.6646767483634578
6,20,2,4,0,0.6035649487541593
6,21,2,5,0,0.6392336648003132
6,22,2,5,0,0.6863064743478701
6,23,2,5,0,0.6880226325983709
6,24,2,5,0,0.6150533353410633
6,25,2,5,0,0.650463163391416
6,26,2,6,0,0.5912687510884806
6,27,2,6,0,0.6867815402406634
6,28,2,6,0,0.6934470567273006
6,29,2,6,0,0.6893343128152523
6,30,2,6,0,0.588832445472111
6,31,2,7,0,0.6902648139980856
6,32,2,7,0,0.6724739268408813
6,33,2,7,0,0.6059410329486766
6,34,2,7,0,0.6219943554080021
6,35,2,7,0,0.6353887079086007
6,36,2,8,0,0.636701724194595
6,37,2,8,0,0.693727660091233
6,38,2,8,0,0.7160586254232143
6,39,2,8,0,0.644892195015715
6,40,2,8,0,0.5985817010483461
6,41,2,9,0,0.7288470725555424
6,42,2,9,0,0.6838790018266622
6,43,2,9,0,0.6841478498167789
6,44,2,9,0,0.5735380398413064
6,45,2,9,0,0.6271747010031995
6,46,2,10,0,0.6440870915944983
6,47,2,10,0,0.6859209077902472
