geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,reaches_chemical_accuracy,overlap_with_real
1.2,RANDOM,25043008,12,0.0020923124012881583,0.6080938167710652,-8.567280063724855,-9.17537388049592,0.0,0.0,0.0009297854035844857,0.0001743593667740132,False,2
1.2,RANDOM,25043009,12,9.293031381041028e-06,0.22665490766802243,-8.948718972827898,-9.17537388049592,0.0,0.0,2.3373199945053224e-06,7.74419281753419e-07,False,1
1.2,RANDOM,25043010,12,0.0009662041073896583,0.1808735059276536,-8.994500374568267,-9.17537388049592,0.0,0.0,0.0001844975369833531,8.051700894913819e-05,False,0
1.2,RANDOM,25043011,12,4.70945388764409e-06,2.3078121059766703,-6.86756177451925,-9.17537388049592,0.0,0.0,1.427134437719841e-06,3.924544906370075e-07,False,0
1.2,REAL,,16,0.9980528339953549,0.0003661230368141588,-9.175007757459106,-9.17537388049592,0.0625,1.0,0.9994355609953534,0.062378302124709684,True,
1.2,EN2,,16,0.9980518632845219,0.00034852936962970205,-9.17502535112629,-9.17537388049592,0.0625,1.0,0.9995724985846611,0.06237824145528262,True,14
1.2,CHEM_EXCITATION,,16,0.9839442300238235,0.016815027638989122,-9.158558852856931,-9.17537388049592,0.0625,1.0,0.9941864338989725,0.06149651437648897,False,1
1.2,RANDOM,25043000,16,0.9829804576842422,0.016803471274000614,-9.15857040922192,-9.17537388049592,0.0625,1.0,0.2687236101232425,0.06143627860526514,False,2
1.2,RANDOM,25043001,16,6.170795225187707e-07,0.8380822673236352,-8.337291613172285,-9.17537388049592,0.0,0.0,1.6168969843621387e-07,3.8567470157423166e-08,False,0
1.2,RANDOM,25043002,16,1.758931101374714e-05,0.8557185983809354,-8.319655282114985,-9.17537388049592,0.0,0.0,5.9145245836896125e-06,1.0993319383591962e-06,False,3
1.2,RANDOM,25043003,16,0.9820121898985548,0.016814454223052167,-9.158559426272868,-9.17537388049592,0.0625,1.0,0.33113845184601404,0.06137576186865967,False,1
1.2,RANDOM,25043004,16,0.0020823949778393967,0.6605661196467505,-8.51480776084917,-9.17537388049592,0.0,0.0,0.0014693859140866212,0.0001301496861149623,False,2
1.2,RANDOM,25043005,16,0.0009742667765633807,0.1817024374454217,-8.993671443050498,-9.17537388049592,0.0,0.0,0.00017679463465337405,6.089167353521129e-05,False,1
1.2,RANDOM,25043006,16,1.4565954898301626e-05,0.19584066755923502,-8.979533212936685,-9.17537388049592,0.0,0.0,4.456136068842297e-06,9.103721811438516e-07,False,1
1.2,RANDOM,25043007,16,2.0746199027210025e-07,0.8557157508478301,-8.31965812964809,-9.17537388049592,0.0,0.0,4.443403443766298e-08,1.2966374392006266e-08,False,0
1.2,RANDOM,25043008,16,0.0020923124012881583,0.6080938167710688,-8.567280063724851,-9.17537388049592,0.0,0.0,0.0009297807301446299,0.0001307695250805099,False,3
1.2,RANDOM,25043009,16,9.299787708118161e-06,0.2266549076680242,-8.948718972827896,-9.17537388049592,0.0,0.0,2.3385590541583056e-06,5.812367317573851e-07,False,1
1.2,RANDOM,25043010,16,0.0009665588097036304,0.18087345860365112,-8.994500421892269,-9.17537388049592,0.0,0.0,0.00018455788201422076,6.04099256064769e-05,False,0
