version,n_qubits,dimension,seed,family,g_minus,g_plus,E_abs,prominence,S_group,A_group,C2_group,C_group,n_channels_mean,identity_residual_maxabs,n_groups,n_pairs
v32.22,7,128,25042008,dephasing,9,54,2.8420763454425915,0.4677155457492559,0.6243143736287435,-0.10011635228367644,0.5241980213450671,0.7240152079515092,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,10,53,2.448171079570776,-0.16483584623561895,0.6284532077668176,0.2963922913734903,0.9248454991403079,0.9616888785570455,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,dephasing,11,52,2.4452719307063377,-0.43250107876283833,0.6558947475785448,-0.2506576068756917,0.4052371407028531,0.6365823911347636,63.0,5.551115123125783e-17,64,32
v32.22,7,128,25042008,dephasing,12,51,2.266431497251796,0.19768852295745135,0.49592729093997984,-0.10324133594658969,0.39268595499339015,0.6266465949747035,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,13,50,2.2356217203738575,0.49179942341166566,0.47046021090578505,0.0709981818979438,0.5414583928037289,0.735838564362951,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,14,49,1.996232844069012,0.3875930676950375,0.2762572731996201,0.11678194893606714,0.39303922213568726,0.6269284027189128,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,15,48,1.9165660018494366,0.36622775864877793,0.2754758152184419,-0.14639186568218857,0.12908394953625332,0.3592825483324417,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042008,dephasing,16,47,1.4947212310529396,0.018184429475485486,0.28156956783528964,0.6018242117935435,0.883393779628833,0.9398903019123206,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,dephasing,17,46,1.4371939657884836,-0.24165973268236773,0.25181911846315297,-0.2370974471662041,0.01472167129694883,0.1213328945379151,63.0,2.2551405187698492e-17,64,32
v32.22,7,128,25042008,dephasing,18,45,1.358391550384914,-0.3547340930621831,0.8604739547490228,0.004085772502618904,0.8645597272516417,0.9298170396651385,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,19,44,1.3554217738309209,-0.5831356771294016,0.825784765558317,0.027369353391696445,0.8531541189500134,0.9236634229793954,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,20,43,0.9686492770057982,0.2651287529256112,0.7961731695660678,0.13044455081127682,0.9266177203773446,0.9626098484730689,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,21,42,0.9571348713258228,0.6054832695723901,0.7916571264327876,-0.12814307336702946,0.6635140530657582,0.8145637194632218,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,dephasing,22,41,0.927235349966152,-0.32396201401381675,0.29876221257355523,-0.17512758230330253,0.12363463027025268,0.35161716435670864,63.0,4.163336342344337e-17,64,32
v32.22,7,128,25042008,dephasing,23,40,0.9244949215862853,-0.5062099841614558,0.3065828411328987,-0.10985688853682243,0.19672595259607623,0.44353799453493975,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042008,dephasing,24,39,0.8532027868569698,0.08292845433834706,0.616359569402072,0.008044267622264538,0.6244038370243365,0.7901922785147527,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,25,38,0.8285024506929071,0.023839073304571967,0.6014494091589753,-0.015979313244752817,0.5854700959142225,0.7651601766389979,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,dephasing,26,37,0.4858883294157925,0.00457967573732207,0.3845910257486184,0.17838404926401247,0.562975075012631,0.750316649830344,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,dephasing,27,36,0.47075444410617,0.260691614216784,0.38808821884365685,-0.2462684029108509,0.14181981593280596,0.37658971830469024,63.0,0.0,64,32
v32.22,7,128,25042008,dephasing,28,35,0.4294594398315418,0.3881395050668724,0.5200360483828402,-0.23491796117499905,0.28511808720784115,0.5339644999509248,63.0,5.551115123125783e-17,64,32
v32.22,7,128,25042008,dephasing,29,34,0.41225054635000247,0.22701053997645046,0.5314628734374612,0.20354752933123105,0.7350104027686923,0.8573274769705519,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,dephasing,30,33,0.06595049779382828,-0.5072887848376827,0.474275188046428,-0.12578486417594914,0.34849032387047885,0.5903306902664631,63.0,5.551115123125783e-17,64,32
v32.22,7,128,25042008,dephasing,31,32,0.05859352296139568,-0.39345788542535365,0.478005139933049,0.12934350029091513,0.6073486402239641,0.7793257600156459,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,0,63,3.6995102410599676,0.13522532750974386,0.20107633871253397,0.6501854822278338,0.8512618209403677,0.9226385104364373,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,1,62,3.6765033100328477,0.06698588744532272,0.177301395965636,0.6423992310402651,0.8197006270059011,0.9053731976405648,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,2,61,3.3947948772601295,-0.4691917559306249,0.10763714531991583,0.6995066643711334,0.8071438096910493,0.8984118263308032,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,3,60,3.374155578181713,0.020746018097367314,0.13503737571401064,0.6405768267193868,0.7756142024333974,0.8806896175346894,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,4,59,3.168636769036305,0.33828877101126603,0.1735067287607151,0.5797456067264086,0.7532523354871237,0.8679011092786573,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,transverse,5,58,3.13812642958258,0.1111937757868674,0.15817444203893646,0.5951250764184205,0.753299518457357,0.8679282910801773,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,transverse,6,57,3.020894155824963,-0.08030270186720459,0.21813151000965875,0.5364262945829222,0.7545578045925809,0.8686528677167773,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,7,56,2.9933602014329272,0.20470988203347337,0.12586011988745877,0.6830601129363207,0.8089202328237795,0.8993999292994077,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042008,transverse,8,55,2.8839947934580175,-0.07381958051787899,0.2039019896160333,-0.15293058493733794,0.05097140467869537,0.22576847583020834,63.0,1.3877787807814457e-17,64,32
v32.22,7,128,25042008,transverse,9,54,2.8420763454425915,0.4677155457492559,0.10583045086197168,0.32163950462021906,0.4274699554821907,0.653811865510401,63.0,5.551115123125783e-17,64,32
v32.22,7,128,25042008,transverse,10,53,2.448171079570776,-0.16483584623561895,0.1434374645522339,0.4916416598975839,0.6350791244498177,0.7969185180743499,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,11,52,2.4452719307063377,-0.43250107876283833,0.15077937927962462,0.012151381070854303,0.16293076035047893,0.40364682626087733,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042008,transverse,12,51,2.266431497251796,0.19768852295745135,0.07486891406822338,0.18893374809114089,0.26380266215936427,0.5136172331214796,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,13,50,2.2356217203738575,0.49179942341166566,0.08177547588064435,0.17049339241828415,0.2522688682989285,0.5022637437631035,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,14,49,1.996232844069012,0.3875930676950375,0.11540844887691401,0.2957121791570141,0.4111206280339281,0.6411868900982989,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,15,48,1.9165660018494366,0.36622775864877793,0.10881967903086456,0.3495635838556844,0.458383262886549,0.6770400748010039,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,16,47,1.4947212310529396,0.018184429475485486,0.07480346339991159,0.2322502347841171,0.30705369818402867,0.5541242624033247,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,17,46,1.4371939657884836,-0.24165973268236773,0.08311932201462256,0.2277072921786356,0.3108266141932582,0.5575182635513012,63.0,0.0,64,32
v32.22,7,128,25042008,transverse,18,45,1.358391550384914,-0.3547340930621831,0.07954601966672388,0.22723683357587665,0.3067828532426006,0.5538798184106373,63.0,5.551115123125783e-17,64,32
